📉 Dashboard already running at http://localhost:7860 — skipping.
🚀 Pretraining SimCLR with resnet18 for 800 epochs
📁 Checkpoints → /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt
[Epoch 207/800] Loss: 0.4918  LR: 0.256697
[Epoch 208/800] Loss: 0.4917  LR: 0.256277
[Epoch 209/800] Loss: 0.4844  LR: 0.255855
[Epoch 210/800] Loss: 0.4927  LR: 0.255432
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_210.pth
[Epoch 211/800] Loss: 0.4915  LR: 0.255006
[Epoch 212/800] Loss: 0.4980  LR: 0.254580
[Epoch 213/800] Loss: 0.4971  LR: 0.254151
[Epoch 214/800] Loss: 0.4883  LR: 0.253721
[Epoch 215/800] Loss: 0.4936  LR: 0.253289
[Epoch 216/800] Loss: 0.4951  LR: 0.252856
[Epoch 217/800] Loss: 0.4877  LR: 0.252421
[Epoch 218/800] Loss: 0.4831  LR: 0.251984
[Epoch 219/800] Loss: 0.4967  LR: 0.251546
[Epoch 220/800] Loss: 0.4859  LR: 0.251106
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_220.pth
[Epoch 221/800] Loss: 0.4963  LR: 0.250665
[Epoch 222/800] Loss: 0.4869  LR: 0.250222
[Epoch 223/800] Loss: 0.4840  LR: 0.249777
[Epoch 224/800] Loss: 0.4725  LR: 0.249331
[Epoch 225/800] Loss: 0.4836  LR: 0.248883
[Epoch 226/800] Loss: 0.4941  LR: 0.248434
[Epoch 227/800] Loss: 0.4901  LR: 0.247983
[Epoch 228/800] Loss: 0.4913  LR: 0.247531
[Epoch 229/800] Loss: 0.4839  LR: 0.247077
[Epoch 230/800] Loss: 0.4898  LR: 0.246621
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_230.pth
[Epoch 231/800] Loss: 0.4758  LR: 0.246164
[Epoch 232/800] Loss: 0.4700  LR: 0.245706
[Epoch 233/800] Loss: 0.4831  LR: 0.245246
[Epoch 234/800] Loss: 0.4814  LR: 0.244784
[Epoch 235/800] Loss: 0.4795  LR: 0.244321
[Epoch 236/800] Loss: 0.4774  LR: 0.243856
[Epoch 237/800] Loss: 0.4826  LR: 0.243390
[Epoch 238/800] Loss: 0.4823  LR: 0.242923
[Epoch 239/800] Loss: 0.4698  LR: 0.242454
[Epoch 240/800] Loss: 0.4755  LR: 0.241983
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_240.pth
[Epoch 241/800] Loss: 0.4883  LR: 0.241511
[Epoch 242/800] Loss: 0.4780  LR: 0.241038
[Epoch 243/800] Loss: 0.4749  LR: 0.240563
[Epoch 244/800] Loss: 0.4757  LR: 0.240087
[Epoch 245/800] Loss: 0.4758  LR: 0.239609
[Epoch 246/800] Loss: 0.4747  LR: 0.239130
[Epoch 247/800] Loss: 0.4710  LR: 0.238650
[Epoch 248/800] Loss: 0.4716  LR: 0.238168
[Epoch 249/800] Loss: 0.4740  LR: 0.237685
[Epoch 250/800] Loss: 0.4709  LR: 0.237200
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_250.pth
[Epoch 251/800] Loss: 0.4827  LR: 0.236714
[Epoch 252/800] Loss: 0.4691  LR: 0.236227
[Epoch 253/800] Loss: 0.4667  LR: 0.235738
[Epoch 254/800] Loss: 0.4678  LR: 0.235248
[Epoch 255/800] Loss: 0.4773  LR: 0.234756
[Epoch 256/800] Loss: 0.4702  LR: 0.234263
[Epoch 257/800] Loss: 0.4672  LR: 0.233769
[Epoch 258/800] Loss: 0.4713  LR: 0.233274
[Epoch 259/800] Loss: 0.4665  LR: 0.232777
[Epoch 260/800] Loss: 0.4663  LR: 0.232279
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_260.pth
[Epoch 261/800] Loss: 0.4717  LR: 0.231779
[Epoch 262/800] Loss: 0.4737  LR: 0.231279
[Epoch 263/800] Loss: 0.4583  LR: 0.230777
[Epoch 264/800] Loss: 0.4677  LR: 0.230273
[Epoch 265/800] Loss: 0.4638  LR: 0.229769
[Epoch 266/800] Loss: 0.4702  LR: 0.229263
[Epoch 267/800] Loss: 0.4561  LR: 0.228756
[Epoch 268/800] Loss: 0.4694  LR: 0.228248
[Epoch 269/800] Loss: 0.4600  LR: 0.227738
[Epoch 270/800] Loss: 0.4612  LR: 0.227228
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_270.pth
[Epoch 271/800] Loss: 0.4656  LR: 0.226716
[Epoch 272/800] Loss: 0.4568  LR: 0.226202
[Epoch 273/800] Loss: 0.4621  LR: 0.225688
[Epoch 274/800] Loss: 0.4730  LR: 0.225172
[Epoch 275/800] Loss: 0.4539  LR: 0.224656
[Epoch 276/800] Loss: 0.4684  LR: 0.224138
[Epoch 277/800] Loss: 0.4633  LR: 0.223618
[Epoch 278/800] Loss: 0.4545  LR: 0.223098
[Epoch 279/800] Loss: 0.4558  LR: 0.222577
[Epoch 280/800] Loss: 0.4673  LR: 0.222054
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_280.pth
